X,Y,OBJECTID,Ppty_Name,Ppty_Addre,City,State,Zip,County,CD,TotalUnits,ActiveSubs,Owner,Latitude,Longitude,OwnerType,SbsdyEnd
-84.3944499997676,33.6796000001399,27,SUMMERDALE COMMONS PHASE I* (2),2745 Hapeville Rd SW,Atlanta,GA,30354-2073,Fulton,5,136,2,Housing Authority of the City of ATLANTA Georgia,33.6796,-84.39445,For Profit,2028/12/31 00:00:00+00
-84.3748099996817,33.6801700003453,28,VINEYARDS OF BROWNS MILLS,2738 Vineyards Dr SE,Atlanta,GA,30354-2223,Fulton,5,210,1,VINEYARDS BROWN'S,33.68017,-84.37481,For Profit,2019/12/31 00:00:00+00
-84.4927700003352,33.6806000003897,29,QLS Meadows,3060 Continental Colony Pkwy SW,Atlanta,GA,30331-3061,Fulton,5,94,0,"Qls Acres, Inc.",33.6806,-84.49277,Non-Profit,2016/10/31 00:00:00+00
-84.4908699999505,33.6810399999961,30,COLUMBIA COLONY SENIOR RESIDENCES,3000 Continental Colony Pkwy SW,Atlanta,GA,30331-3044,Fulton,5,120,1, ,33.68104,-84.49087, ,2023/01/22 00:00:00+00
-84.3703999995603,33.6816999998551,31,ASHTON BROWNS MILL* (2),500 Cleveland Ave SE,Atlanta,GA,30354-2273,Fulton,5,100,0,EDDY BENOIT JR,33.6817,-84.3704,For Profit,2023/12/31 00:00:00+00
-84.4945800001668,33.6825900004282,32,Epworth Towers INC,3033 Continental Colony Pkwy SW,Atlanta,GA,30331-3039,Fulton,5,240,0, ,33.68259,-84.49458, ,2012/03/01 00:00:00+00
-84.4938200001928,33.6828590002427,33,Asbury Harris Epworth Towers,3033 Continental SW,Atlanta,GA,30331, ,5,160,1,"Wesley Homes, Inc.",33.682859,-84.49382,Non-Profit,2033/03/31 00:00:00+00
-84.3963100001064,33.6833399999411,34,COLONIAL SQUARE,2637 Old Hapeville Rd SW,Atlanta,GA,30315,Fulton,5,192,1,COLONIAL PARTNERS LP,33.68334,-84.39631,For Profit,2028/12/31 00:00:00+00
-84.4157499999625,33.683420000033,35,TRINITY TOWERS,2611 Springdale Rd SW,Atlanta,GA,30315-7137,Fulton,5,240,3,Trinity Towers LP* (3),33.68342,-84.41575,For Profit,2046/01/01 00:00:00+00
-84.5013399998411,33.6840900003533,36,PARK VIEW AT COVENTRY STATION,3381 Greenbriar Pkwy SW,Atlanta,GA,30331-2654,Fulton,5,166,1,SHELTER DEVELOPMENT LCC,33.68409,-84.50134,For Profit,2021/12/31 00:00:00+00
-84.5056499998476,33.6884799995524,37,BARGE ROAD HIGHRISE,2440 Barge Rd SW,Atlanta,GA,30331-5251,Fulton,5,130,1,Housing Authority of the City of ATLANTA Georgia,33.68848,-84.50565, ,
-84.4030899998036,33.6912299995649,38,SANTA FE VILLAS* (2),2370 Metropolitan Pkwy SW,Atlanta,GA,30315-6238,Fulton,5,147,1, ,33.69123,-84.40309, ,2025/12/31 00:00:00+00
-84.6239299999695,33.69280000002,39,RIVERVIEW APARTMENTS,7350 Campbellton Rd SW,Atlanta,GA,30331-8176,Fulton,13,240,1,FIRST ATLANTIC CAPITAL LLC,33.6928,-84.62393,For Profit,2030/12/31 00:00:00+00
-84.3569200002578,33.6941999998302,40,CONSTITUTION AVENUE,960 Constitution Rd SE,Atlanta,GA,30315-6836,Fulton,5,166,1,CONSTITUTION AVENUE APTS LP,33.6942,-84.35692,For Profit,2020/12/31 00:00:00+00
-84.3588599997891,33.6947299999895,41, ,2120 Forrest Park Rd SE,Atlanta,GA,30315,Fulton, ,166,1, ,33.69473,-84.35886, ,2027/12/31 00:00:00+00
-84.4147499997127,33.6961800003068,42,LAKEWOOD CHRISTIAN MNR* (2),2141 Springdale Rd SW,Atlanta,GA,30315-6100,Fulton,5,250,2,LAKEWOOD MANOR* (2),33.69618,-84.41475,For Profit,2024/12/31 00:00:00+00
-84.3244999998751,33.6983800001369,43,Eagles Run II Apartments* (5),2000 Bouldercrest Rd SE,Atlanta,GA,30316-3925,Dekalb,5,204,2,EAGLES RUN II LCC,33.69838,-84.3245,For Profit,2029/12/31 00:00:00+00
-84.4658600004386,33.6993200003178,44,THE PRESERVE AT BENT CREEK,1994 Bent Creek Way SW,Atlanta,GA,30311-3827,Fulton,5,323,1,CENTERLINE,33.69932,-84.46586,For Profit,2020/12/31 00:00:00+00
-84.4600600000689,33.7000499998077,45,PARK AT LAKEWOOD,1991 Delowe Dr SW,Atlanta,GA,30311-4736,Fulton,5,120,1,PARK AT LAKEWOOD LLC,33.70005,-84.46006, ,2027/12/31 00:00:00+00
-84.4555899998786,33.7003300001294,46,BRENTWOOD HEIGHTS ( VILLAGE ),2060 Alison Ct SW,Atlanta,GA,30311-4924,Fulton,5,0,1,TAX CREDIT ASSET MGMT,33.70033,-84.45559, ,2030/12/31 00:00:00+00
-84.4515200001479,33.7005500003822,47,BRENTWOOD MEADOWS APARTMENTS* (2),1935 Alison Ct SW,Atlanta,GA,30311-5065,Fulton,5,250,2,TAX CREDIT ASSET MGMT,33.70055,-84.45152,For Profit,2030/12/31 00:00:00+00
-84.4835200000479,33.7008099997817,48,HUNTINGWOOD POINTE - CASCADE PINES APTS* (4),2909 Campbellton Rd SW,Atlanta,GA,30311-4508,Fulton,5,376,1,PAULA HALL                                                                                          * (3),33.70081,-84.48352,Multiple,2028/12/31 00:00:00+00
-84.4080500001074,33.7013799999871,49,BROOKSIDE PARK,2000 Rambling Dr SW,Atlanta,GA,30315-5928,Fulton,5,200,1,ORCHARD LP,33.70138,-84.40805,For Profit,2018/12/31 00:00:00+00
-84.4261700002453,33.701460000079,50,COLUMBIA AT SYLVAN HILLS* (2),1150 Astor Ave SW,Atlanta,GA,30310-4856,Fulton,5,191,1,"COLUMBIA AT SYLVAN HILLS, L.P                                                                       * (2)",33.70146,-84.42617,For Profit,2022/12/31 00:00:00+00
-84.4564400004057,33.7019599997543,51,BAPTIST GARDENS,1928 Delowe Dr SW,Atlanta,GA,30311,Fulton,5,100,1,BAPTIST HSG,33.70196,-84.45644,For Profit,2026/12/31 00:00:00+00
-84.4686499995977,33.7029899995889,52,Providence Manor,2447 Campbellton Rd SW,Atlanta,GA,30311-3802,Fulton,5,46,0,Providence Manor Development Corporation,33.70299,-84.46865,Non-Profit,2016/08/10 00:00:00+00
-84.4561600000839,33.7035599997942,53,Baptist Towers,1881 Myrtle Dr SW,Atlanta,GA,30311-4961,Fulton,5,300,3,DELOWE MYRTLE* (2),33.70356,-84.45616,For Profit,2051/02/01 00:00:00+00
-84.4683399996912,33.704540000021,54,WELLS COURT COMMONS* (4),1856 Wells Dr SW,Atlanta,GA,30311-3839,Fulton,5,62,1,COOPERATIVE HSG ASSOC L L C* (2),33.70454,-84.46834,Multiple,2026/12/31 00:00:00+00
-84.3744300001443,33.7055299998097,55,THE STATION AT RICHMOND OAKS* (2),1770 Richmond Cir SE,Atlanta,GA,30315-5373,Fulton,5,181,1,KEVIN SMITH                                                                                         * (2),33.70553,-84.37443,For Profit,2019/12/31 00:00:00+00
-84.3997100004161,33.7059599998541,56,BETMAR VILLAGE,345 Ashwood Ave SW,Atlanta,GA,30315,Fulton,5,48,2,STEVE BODKIN* (2),33.70596,-84.39971,For Profit,2028/12/31 00:00:00+00
-84.3545400002208,33.7060599999691,57,Thomasville Heights,1046 Henry Thomas Dr SE,Atlanta,GA,30315-5634,Fulton,5,197,0,Housing Authority Of The City Of Atlanta Georgia,33.70606,-84.35454, ,
-84.3824900004132,33.7071099998267,58, ,1417 Pryor Rd SW,Atlanta,GA,30315,Fulton, ,96,1, ,33.70711,-84.38249, ,2030/05/04 00:00:00+00
-84.3824900004132,33.7071099998267,59,REED STREET APARTMENTS,60 Love St SW,Atlanta,GA,30315,Fulton,5,30,1,REED STREET PARTNERS LP,33.70711,-84.38249,Non-Profit,2024/12/31 00:00:00+00
-84.4486200004126,33.7072099999416,60,QUALITY LIVING SER / GRANADA PARK* (3),1870 Campbellton Rd SW,Atlanta,GA,30311-4131,Fulton,5,202,2, ,33.70721,-84.44862, ,2025/12/31 00:00:00+00
-84.3591699996957,33.7074799998022,61,Forest Cove Apartments,900 New Town Cir SE,Atlanta,GA,30315-5441,Fulton,5,396,1,"GMF-Forest Cove, LLC",33.70748,-84.35917,For Profit,2023/08/31 00:00:00+00
-84.382519999998,33.7080099999616,62,RENAISSANCE AT PARK PLACE SOUTH,266 Amak Dr,Atlanta,GA,30315, ,5,100,1,MISTY AMBER LP,33.70801,-84.38252,For Profit,2017/12/31 00:00:00+00
-84.382519999998,33.7080099999616,63,Carver V,1510 Moury Ave SW,Atlanta,GA,30315, ,5,78,0,Housing Authority Of The City Of Atlanta Georgia,33.70801,-84.38252, ,
-84.4871900002183,33.7080700000305,64,VILLAGES OF CASCADE APARTMENTS,3041 Landrum Dr SW,Atlanta,GA,30311-4209,Fulton,5,180,1,VILLAGES CASCADE,33.70807,-84.48719,For Profit,
-84.3994300000944,33.7081199996383,65,AMAL HEIGHTS TOWNHOMES* (3),1700 Giben Rd SW,Atlanta,GA,30315-4814,Fulton,5,192,2,PAUL JONES                                                                                          * (2),33.70812,-84.39943,For Profit,2050/05/01 00:00:00+00
-84.4477699998856,33.7088000004197,66,QLS Haven,1840 Campbellton Rd SW,Atlanta,GA,30311-4168,Fulton,5,120,0,Quality Living Haven,33.7088,-84.44777,Non-Profit,2016/04/30 00:00:00+00
-84.4002700001603,33.7089100000965,67,"AMAL TOWNHOMES , PHASE II* (2)",535 Amal Dr SW,Atlanta,GA,30315-4822,Fulton,5,100,2,AMAL GROUP I LP,33.70891,-84.40027,For Profit,2021/12/31 00:00:00+00
-84.4483299996297,33.7099500003923,68,LILLIE R. CAMPBELL HOUSE,1830 Campbellton Rd SW,Atlanta,GA,30311-4176,Fulton,5,96,1,LILLIE R CAMPBELL HOUSE LP,33.70995,-84.44833,For Profit,2022/12/31 00:00:00+00
-84.3874800003017,33.7109000001349,69,COLUMBIA SENIOR RESIDENCES AT MT PLEASANT,142 Meldon Ave SE,Atlanta,GA,30315,Fulton,5,78,1,COLUMBIA SENIOR RESIDENCES AT MT PLEASANT LP,33.7109,-84.38748,Non-Profit,2020/12/31 00:00:00+00
-84.3825499995827,33.7111400004108,70,COLUMBIA BLACKSHEAR SR RESIDENCES / COL SR. MT,14 Meldon Ave SW,Atlanta,GA,30315-3812,Fulton,5,77,1,COLUMBIA RESIDENCES,33.71114,-84.38255,For Profit,2021/12/31 00:00:00+00
-84.3585099998366,33.7111900000185,71,GRANT PARK COMMONS,1940 Fisher Rd SE,Atlanta,GA,30315-4532,Fulton,5,338,1,GLEICHMAN & CO INC R E A L COMMUNITY CORP,33.71119,-84.35851,For Profit,2026/12/31 00:00:00+00
-84.3939399996312,33.7122799999221,72,THORNTON PLACE* (2),1599 Pryor Rd SW,Atlanta,GA,30315-3721,Fulton,5,12,1,SITUS PRYOR LCC* (2),33.71228,-84.39394,For Profit,2020/12/31 00:00:00+00
-84.5284900000134,33.7123899995988,73,ASHLEY COURTS AT CASCADE II,1381 Kimberly Rd SW,Atlanta,GA,30331,Fulton,5,136,0,KIMBERLY ASSOC II LP,33.71239,-84.52849,For Profit,2016/12/31 00:00:00+00
-84.3880499996077,33.7126299998747,74,"VILLAGES AT CARVER , PHASE V* (2)",178 Moury Ave SW,Atlanta,GA,30315-3446,Fulton,5,165,2,Housing Authority of the City of ATLANTA Georgia* (2),33.71263,-84.38805,For Profit,2022/12/31 00:00:00+00
-84.3877199996782,33.7128100000815,75,VILLAGES AT CARVER III* (2),201 Moury Ave SW,Atlanta,GA,30315-3400,Fulton,5,220,2,CARVER REDEVELOPMENT PRTNR LP* (2),33.71281,-84.38772,For Profit,2030/12/31 00:00:00+00
-84.3928400001658,33.7144199996833,76,VERANDA CARVER SENIOR BUILDING* (4),217 Thirkield Ave SW,Atlanta,GA,30315-3514,Fulton,5,90,2,EGBERT PERRY                                                                                        * (2),33.71442,-84.39284,Multiple,2053/02/01 00:00:00+00
-84.3955900001783,33.7149200002578,77,COULMBIA HIGH PT EASTATES SENIOR,220 Bowen Cir SW,Atlanta,GA,30315-2605,Fulton,5,94,0,"NOEL F KHALIL, CEO",33.71492,-84.39559,For Profit,2016/12/31 00:00:00+00
-84.3297100000165,33.7157699998857,78,SUGAR CREEK APTS* (3),1504 Bouldercrest Rd SE,Atlanta,GA,30316-4042,Dekalb,5,176,1,Paradise East Apartments LLC,33.71577,-84.32971,For Profit,2034/12/31 00:00:00+00
-84.3909100001963,33.7160900002534,79,VILLAGES AT CARVER II* (4),174 Moury Ave SW,Atlanta,GA,30315-3422,Fulton,5,110,4,Housing Authority Of The City Of Atlanta Georgia* (2),33.71609,-84.39091,For Profit,2017/12/31 00:00:00+00
-84.4101699998456,33.7164600002289,80,CAMP CDC,1401 Belmont Ave SW,Atlanta,GA,30310,Fulton, ,1,1, ,33.71646,-84.41017, ,2027/04/25 00:00:00+00
-84.3695499999325,33.7182700000605,81,GRANT PARK APARTMENTS* (2),548 Burroughs St SE,Atlanta,GA,30315-3032,Fulton,5,302,1,"COOPERATIVE RESOURCE CENTER, INC.* (2)",33.71827,-84.36955,Multiple,2026/12/31 00:00:00+00
-84.5221800004066,33.7183100001065,82,KIMBERLY COURT APARTMENTS* (10),1371 Kimberly Way SW,Atlanta,GA,30331-4621,Fulton,5,153,8,KIMBERLY ASSOC III LP* (4),33.71831,-84.52218,For Profit,2054/04/01 00:00:00+00
-84.3465400000209,33.7192999998952,83, ,1247 Eastland Rd SE,Atlanta,GA,30316,Dekalb, ,1,0, ,33.7193,-84.34654, ,2011/07/25 00:00:00+00
-84.4265800002668,33.7196499998477,84,Oakland City / West End Apartments,1191 Oakland Ln SW,Atlanta,GA,30310-4089,Fulton,5,111,1,CHG - Oakland City LLC,33.71965,-84.42658,Non-Profit,2024/08/31 00:00:00+00
-84.4221599996842,33.7209300004192,85,PHOENIX HOUSE,1296 Murphy Ave SW,Atlanta,GA,30310-4002,Fulton,5,21,2, ,33.72093,-84.42216,For Profit,2020/05/05 00:00:00+00
-84.3148500000274,33.7213799995874,86,PRI / COLUMBIA MILL,2249 Flat Shoals Rd SE,Atlanta,GA,30316-3744,Dekalb,5,60,1, ,33.72138,-84.31485,For Profit,2026/12/31 00:00:00+00
-84.3149799997271,33.7214199996333,87,PRI / COLUMBIA MILL* (2),2243 Flat Shoals Rd SE,Atlanta,GA,30316-3742,Dekalb,5,60,0,PROGRESSIVE REDEVELOPMENT,33.72142,-84.31498,Non-Profit,2027/12/31 00:00:00+00
-84.3152800000719,33.7215300002094,88,COLUMBIA MILL APTS,2229 Flat Shoals Rd SE,Atlanta,GA,30316,Dekalb,5,100,2,PROGRESSIVE REDEVELOPMENT INC,33.72153,-84.31528,Non-Profit,2034/09/17 00:00:00+00
-84.3429800004266,33.7235699998557,89,VINEYARDS OF FLAT SHOALS,200 Vineyard Walk,Atlanta,GA,30316, ,5,228,0,PAUL A. PENSIG,33.72357,-84.34298,For Profit,
-84.5133899997487,33.7236200003628,90,FULTON-ATL CAA/CASCADE* (5),3820 Old Cascade Rd SW,Atlanta,GA,30331-3133,Fulton,5,112,1,F.A.C.A.A.* (2),33.72362,-84.51339,Multiple,2029/12/31 00:00:00+00
-84.3997899996087,33.7245900001284,91, ,1106 Ira St SW,Atlanta,GA,30310,Fulton, ,1,1, ,33.72459,-84.39979, ,2028/07/11 00:00:00+00
-84.3209600003037,33.724880000012,92,HIGHLANDS AT EAST ATLANTA* (2),2051 Flat Shoals Rd SE,Atlanta,GA,30316-3002,Dekalb,5,250,2,"Highlands At East Atlanta, LP* (2)",33.72488,-84.32096,For Profit,2023/12/31 00:00:00+00
-84.3964999998751,33.7249099995968,93,CROGMAN SCHOOL,1093 West Ave SW,Atlanta,GA,30315-2159,Fulton,5,105,1,CROGMAN LP,33.72491,-84.3965,For Profit,2017/12/31 00:00:00+00
-84.5190900000035,33.7254199997333,94,QLS Villa* (2),4020 Danforth Rd SW,Atlanta,GA,30331-2089,Fulton,5,64,2,"QLS VILLAS, INC.",33.72542,-84.51909,Non-Profit,2019/08/20 00:00:00+00
-84.3870799998421,33.7259899999386,95,Boynton Village Apartments* (2),1044 Hank Aaron Dr SE,Atlanta,GA,30315-1736,Fulton,5,44,2,Boynton Village Limited Partnership,33.72599,-84.38708,For Profit,2034/12/31 00:00:00+00
-84.3905800002668,33.7263700003753,96,REYNOLDSTOWN / 1044 WASHINGTON STREET,1038 Washington St SW,Atlanta,GA,30315-1612,Fulton,5,20,0, ,33.72637,-84.39058, ,2011/12/03 00:00:00+00
-84.322179999907,33.7270900003033,97, ,2045 Graham Cir SE,Atlanta,GA,30316,Dekalb, ,46,2, ,33.72709,-84.32218, ,2026/05/04 00:00:00+00
-84.363679999932,33.7282699998606,98,TRESTLETREE VILLAGE APTS,970 Confederate Ave SE,Atlanta,GA,30312,Fulton, ,188,1,"HUD KARSHMER, PRESIDENT",33.72827,-84.36368, ,
-84.4217899997087,33.7282899998837,99,GREENWICH STREET / 1424 - 1243,1424 Greenwich St,Atlanta,GA,30310, ,5,2,0, ,33.72829,-84.42179, ,
-84.3905499997826,33.728820000043,100,WASHINGTON HEIGHTS,954 Washington St SW,Atlanta,GA,30315-1618,Fulton,5,10,1,INC PRAI,33.72882,-84.39055,For Profit,2021/12/31 00:00:00+00
-84.3868200004426,33.728860000089,101,Capitol Vanira Apartments,942 Hank Aaron Dr SE,Atlanta,GA,30315-1745,Fulton,5,60,2,Capitol Vanira Associates,33.72886,-84.38682,For Profit,2041/11/01 00:00:00+00
-84.3619100001463,33.7290099998117,102,Trestletree Village,904 Confederate Ct SE,Atlanta,GA,30312-3787,Fulton,5,188,1,CHC Trestletree LLC,33.72901,-84.36191,For Profit,2032/09/30 00:00:00+00
-84.3802499996377,33.7291299999496,103,COLUMBIA AT PEOPLESTOWN* (2),222 Tuskegee St SE,Atlanta,GA,30315-1951,Fulton,5,99,3,COLUMBIAAT PEOPLETOWN LP* (2),33.72913,-84.38025,Multiple,2025/02/18 00:00:00+00
-84.4228999996353,33.7295500004322,104,PITTSBURGH PARTNERSHIP,PO Box 11303,Atlanta,GA,30310,Fulton,5,7,1, ,33.72955,-84.4229, ,2025/12/31 00:00:00+00
-84.3423900001983,33.7304099996218,105, ,2087 Edgemore Dr SE,Atlanta,GA,30316,Dekalb, ,1,0, ,33.73041,-84.34239, ,2011/10/11 00:00:00+00
-84.3905200001978,33.7309500002424,106,PATTERSON HEIGHTS,876 Washington St SW,Atlanta,GA,30315-1521,Fulton,5,10,1,INC PRAI,33.73095,-84.39052,For Profit,2021/12/31 00:00:00+00
-84.4014400001558,33.7311400000111,107,BUREAU OF HOUSING,886 McDaniel St SW,Atlanta,GA,30310,Fulton, ,1,1, ,33.73114,-84.40144, ,2028/07/11 00:00:00+00
-84.3889899997886,33.7322099998916,108,Capitol Towers,830 Crew St SW,Atlanta,GA,30315-1560,Fulton,5,39,1,"Capitol Towers Associates, Limited",33.73221,-84.38899,For Profit,2026/04/30 00:00:00+00
-84.4016899999935,33.7325500002823,109,"PITTSBURGH PHASE II , SENIOR",797 McDaniel St SW,Atlanta,GA,30310,Fulton,5,150,0,PITTSBURGH PHASE II LP,33.73255,-84.40169,Non-Profit,2020/12/31 00:00:00+00
-84.3885599997441,33.7325500002823,110,Capitol Avenue School,811 Hank Aaron Dr SW,Atlanta,GA,30315-1549,Fulton,5,48,2,Capitol Avenue School Associates,33.73255,-84.38856,For Profit,2026/09/01 00:00:00+00
-84.402819999943,33.7328400001659,111,"PITTSBURGH, PHASE I* (2)",765 McDaniel St SW,Atlanta,GA,30310-5300,Fulton,5,220,1,STEVEN DEFRANCIS,33.73284,-84.40282,For Profit,2021/12/31 00:00:00+00
-84.3880099995618,33.7332500001874,112,SQUARE AT PEOPLESTOWN,875 Hank Aaron Dr SW,Atlanta,GA,30315-1522,Fulton,5,94,1,PEP LTD,33.73325,-84.38801,For Profit,2029/12/31 00:00:00+00
-84.5104299999445,33.7334599999791,113,THE PRESERVES AT CASCADE,751 Fairburn Rd SW,Atlanta,GA,30331-2096,Fulton,5,210,1,PRS CASCADE LP,33.73346,-84.51043,For Profit,2019/12/31 00:00:00+00
-84.4189799996273,33.7338299999546,114,"770 - 772 AZALIA ST. , SW",770 Azalia St SW,Atlanta,GA,30310-2732,Fulton,5,2,1, ,33.73383,-84.41898, ,2020/12/31 00:00:00+00
-84.4189799996273,33.7338299999546,115,766 AZALEA STREET,766 Azalia St SW,Atlanta,GA,30310-2732,Fulton,5,2,1,TRIAD INVESTMENTS,33.73383,-84.41898, ,2021/12/31 00:00:00+00
-84.4189799996273,33.7338299999546,116,"774 - 776 AZALIA ST. , SW",774 Azalia St SW,Atlanta,GA,30310-2732,Fulton,5,2,1,ADCO RENTALS,33.73383,-84.41898, ,2020/12/31 00:00:00+00
-84.4185100004361,33.734360000114,117,"936 - 938 MATHEWS ST. , SW",936 Mathews St SW,Atlanta,GA,30310,Fulton,5,2,1,ADCO RENTALS,33.73436,-84.41851, ,2020/12/31 00:00:00+00
-84.4181599995842,33.7344200001829,118,SHOWCASE DISTRICT,922 Mathews St SW,Atlanta,GA,30310-2628,Fulton,5,0,1,SHOWCASE DISTRICT,33.73442,-84.41816, ,2020/12/31 00:00:00+00
-84.4181599995842,33.7344200001829,119,"924 MATHEWS ST. , SW",924 Mathews St SW,Atlanta,GA,30310-2628,Fulton,5,2,1,TRIAD INVESTMENTS LTD,33.73442,-84.41816, ,2019/12/31 00:00:00+00
-84.4181599995842,33.7344200001829,120,932 MATTHEW STREET,932 Mathews St SW,Atlanta,GA,30310,Fulton,5,2,1, ,33.73442,-84.41816, ,2021/12/31 00:00:00+00
